Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Blackburn,Wolves,1,2,16,13,8,4,2.2,3.2,3.5
E0,Fulham,Aston Villa,0,0,13,7,9,1,2.2,3.2,3.5
E0,Liverpool,Sunderland,1,1,11,15,4,6,1.57,3.6,7
E0,Newcastle,Arsenal,0,0,6,9,1,4,3.75,3.25,2.1
E0,QPR,Bolton,0,4,13,13,7,7,2.4,3.25,3
E0,Wigan,Norwich,1,1,18,13,11,3,2.2,3.2,3.5
E0,Stoke,Chelsea,0,0,6,20,3,11,5.5,3.5,1.7
E0,West Brom,Man United,1,2,14,11,8,5,6.5,4,1.53
E0,Man City,Swansea,4,0,26,8,19,5,1.29,5,13
E0,Arsenal,Liverpool,0,2,10,13,6,8,2.5,3.25,2.9
E0,Aston Villa,Blackburn,3,1,9,10,6,6,1.73,3.4,5.5
E0,Chelsea,West Brom,2,1,22,6,12,4,1.3,5.5,10
E0,Everton,QPR,0,1,14,4,7,3,1.53,3.8,7
E0,Sunderland,Newcastle,0,1,15,12,5,10,2.2,3.25,3.4
E0,Swansea,Wigan,0,0,12,10,6,4,2.1,3.3,3.6
E0,Bolton,Man City,2,3,6,17,4,9,4.75,3.5,1.8
E0,Norwich,Stoke,1,1,9,15,7,5,2.6,3.3,2.75
E0,Wolves,Fulham,2,0,17,8,7,4,2.38,3.25,3.1
E0,Man United,Tottenham,3,0,27,20,21,12,1.67,3.75,5.5
E0,Aston Villa,Wolves,0,0,15,3,5,2,2.1,3.25,3.75
E0,Blackburn,Everton,0,1,14,9,6,4,3.3,3.25,2.25
E0,Chelsea,Norwich,3,1,16,9,8,6,1.2,6.5,15
E0,Liverpool,Bolton,3,1,17,7,9,4,1.4,4.5,8.5
E0,Swansea,Sunderland,0,0,15,12,6,8,2.38,3.3,3
E0,Wigan,QPR,2,0,13,19,10,9,2.25,3.3,3.25
E0,Man United,Arsenal,8,2,25,19,15,13,1.5,4.33,6.5
E0,Newcastle,Fulham,2,1,13,16,9,9,2.1,3.25,3.75
E0,Tottenham,Man City,1,5,15,22,10,12,2.88,3.3,2.5
E0,West Brom,Stoke,0,1,16,7,7,1,2.1,3.25,3.75
E0,Arsenal,Swansea,1,0,18,10,8,5,1.36,4.75,9
E0,Bolton,Man United,0,5,20,13,13,9,9,4.5,1.4
E0,Everton,Aston Villa,2,2,17,7,10,3,2,3.4,3.8
E0,Man City,Wigan,3,0,23,9,10,5,1.17,7,17
E0,Stoke,Liverpool,1,0,3,20,1,11,3.25,3.3,2.25
E0,Sunderland,Chelsea,1,2,14,16,7,8,5,3.75,1.7
E0,Wolves,Tottenham,0,2,10,17,6,11,3,3.25,2.4
E0,Fulham,Blackburn,1,1,13,10,8,5,1.67,3.6,5.5
