Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Arsenal,Aston Villa,1,1,19,5,11,3,1.28,4.5,13
E0,Bolton,Tottenham,2,0,8,9,6,6,2.62,3.2,2.6
E0,Everton,Watford,2,1,6,12,2,8,1.66,3.4,5.5
E0,Newcastle,Wigan,2,1,9,14,8,9,1.72,3.5,4.75
E0,Portsmouth,Blackburn,3,0,21,9,16,7,2.3,3.1,3.1
E0,Reading,Middlesbrough,3,2,14,7,9,5,2.5,3.1,2.8
E0,Sheffield United,Liverpool,1,1,5,12,3,7,6,3.8,1.53
E0,West Ham,Charlton,3,1,16,4,5,2,2,3.2,3.75
E0,Chelsea,Man City,3,0,10,5,4,2,1.22,5.5,13
E0,Man United,Fulham,5,1,15,12,7,8,1.22,5.5,13
E0,Tottenham,Sheffield United,2,0,18,6,13,3,1.5,3.75,7
E0,Watford,West Ham,1,1,11,8,4,4,2.87,3.2,2.4
E0,Aston Villa,Reading,2,1,11,5,6,3,1.9,3.25,4
E0,Blackburn,Everton,1,1,10,10,5,4,2.3,3.1,3.1
E0,Charlton,Man United,0,3,8,21,2,11,7.5,3.6,1.5
E0,Fulham,Bolton,1,1,11,4,4,1,2.4,3.2,2.87
E0,Man City,Portsmouth,0,0,6,3,3,1,2.2,3.1,3.1
E0,Middlesbrough,Chelsea,2,1,9,8,2,5,8.5,3.75,1.44
E0,Charlton,Bolton,2,0,9,7,5,2,2.5,3.1,2.8
E0,Fulham,Sheffield United,1,0,10,9,5,1,1.9,3.25,4
E0,Liverpool,West Ham,2,1,19,8,8,3,1.44,4,7.5
E0,Man City,Arsenal,1,0,10,17,3,6,5.5,3.6,1.61
E0,Tottenham,Everton,0,2,15,6,6,2,1.72,3.4,5
E0,Watford,Man United,1,2,8,19,7,10,7.5,4.33,1.4
E0,Wigan,Reading,1,0,15,5,5,3,1.9,3.25,4
E0,Aston Villa,Newcastle,2,0,9,8,7,5,2.37,3.1,3
E0,Blackburn,Chelsea,0,2,12,14,3,8,6.5,3.6,1.53
E0,Middlesbrough,Portsmouth,0,4,19,10,8,7,2,3.2,3.75
E0,Arsenal,Middlesbrough,1,1,20,1,12,1,1.33,4.33,10
E0,Bolton,Watford,1,0,7,15,2,6,1.66,3.4,5.5
E0,Chelsea,Charlton,2,1,19,3,6,2,1.2,5.5,17
E0,Everton,Liverpool,3,0,8,21,6,5,3.75,3.2,2
E0,Man United,Tottenham,1,0,10,9,5,4,1.5,3.75,7
E0,Newcastle,Fulham,1,2,15,8,7,5,1.72,3.4,5
E0,Portsmouth,Wigan,1,0,9,11,7,5,1.83,3.25,4.5
E0,Sheffield United,Blackburn,0,0,14,12,9,1,2.62,3.2,2.62
E0,West Ham,Aston Villa,1,1,7,10,1,6,2.1,3.2,3.5
E0,Reading,Man City,1,0,12,15,7,8,2.3,3.1,3.1
E0,Bolton,Middlesbrough,0,0,13,14,3,7,2,3.2,3.75
E0,Charlton,Portsmouth,0,1,18,12,5,5,2.3,3.25,3
E0,Everton,Wigan,2,2,14,10,9,7,1.72,3.4,5
E0,Sheffield United,Reading,1,2,14,8,7,2,2.5,3.1,2.8
E0,Watford,Aston Villa,0,0,12,9,5,4,2.75,3.2,2.5
E0,Blackburn,Man City,4,2,11,15,5,8,2,3.2,3.75
E0,Chelsea,Liverpool,1,0,4,9,3,6,1.83,3.25,4.5
E0,Man United,Arsenal,0,1,17,14,9,7,1.9,3.25,4
E0,Tottenham,Fulham,0,0,18,8,8,3,1.61,3.4,6
E0,West Ham,Newcastle,0,2,10,16,7,9,2.1,3.2,3.5
E0,Liverpool,Newcastle,2,0,22,11,11,6,1.53,3.6,6.5
E0,Arsenal,Sheffield United,3,0,14,5,11,4,1.2,5.5,17
E0,Aston Villa,Charlton,2,0,12,8,5,3,1.8,3.4,4.33
E0,Fulham,Chelsea,0,2,7,13,4,5,7.5,4.33,1.4
E0,Liverpool,Tottenham,3,0,14,5,6,1,1.61,3.75,5.25
E0,Man City,West Ham,2,0,17,4,8,0,2.25,3.2,3.1
E0,Middlesbrough,Blackburn,0,1,13,13,7,7,2.1,3.1,3.5
E0,Reading,Man United,1,1,3,18,1,8,7,3.75,1.5
E0,Wigan,Watford,1,1,8,10,4,4,1.83,3.3,4.33
E0,Newcastle,Everton,1,1,21,12,13,5,2.2,3.2,3.25
E0,Portsmouth,Bolton,0,1,13,4,5,3,1.9,3.25,4
E0,Bolton,Liverpool,2,0,4,13,3,6,3.75,3.2,2
E0,Charlton,Arsenal,1,2,10,21,6,12,6.5,3.6,1.53
E0,Chelsea,Aston Villa,1,1,18,9,10,5,1.3,5,8.5
E0,Everton,Man City,1,1,14,11,10,5,1.83,3.3,4.33
E0,Sheffield United,Middlesbrough,2,1,13,7,7,2,2.6,3.25,2.6
E0,Blackburn,Wigan,2,1,12,11,8,6,1.9,3.25,4
