Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Aston Villa,Southampton,2,0,14,6,5,2,1.9,3.1,4.33
E0,Blackburn,West Brom,1,1,12,4,4,2,1.8,3.1,5
E0,Bolton,Charlton,4,1,21,9,11,5,2.25,3.2,3.1
E0,Man City,Fulham,1,1,12,4,5,2,2.1,3.25,3.4
E0,Middlesbrough,Newcastle,2,2,15,11,8,4,2.3,3.25,3
E0,Norwich,Crystal Palace,1,1,14,14,10,8,2.1,3.25,3.4
E0,Portsmouth,Birmingham,1,1,14,16,8,11,2.4,3.2,2.87
E0,Tottenham,Liverpool,1,1,14,16,7,8,3.1,3.2,2.25
E0,Chelsea,Man United,1,0,8,11,5,3,2.1,3.25,3.4
E0,Everton,Arsenal,1,4,9,18,5,14,6,3.4,1.61
E0,Birmingham,Chelsea,0,1,9,7,3,3,4.5,3.2,1.83
E0,Charlton,Portsmouth,2,1,18,10,14,6,2,3.2,3.75
E0,Crystal Palace,Everton,1,3,15,14,9,7,2.3,3.25,3
E0,Fulham,Bolton,2,0,23,10,12,4,2.25,3.2,3.1
E0,Liverpool,Man City,2,1,15,7,10,4,1.57,3.5,6.5
E0,Man United,Norwich,2,1,17,7,7,2,1.25,5,13
E0,Newcastle,Tottenham,0,1,13,15,6,8,1.66,3.4,5.5
E0,Southampton,Blackburn,3,2,13,10,7,6,2.3,3.25,3
E0,Arsenal,Middlesbrough,5,3,16,9,11,5,1.36,4.33,9
E0,West Brom,Aston Villa,1,1,14,9,5,4,2.87,3.2,2.4
E0,Birmingham,Man City,1,0,6,4,2,1,1.9,3.1,4.33
E0,Crystal Palace,Chelsea,0,2,7,16,4,10,8.5,3.75,1.44
E0,Arsenal,Blackburn,3,0,15,3,9,0,1.28,5,10
E0,Charlton,Aston Villa,3,0,7,9,5,4,2.5,3.2,2.75
E0,Fulham,Middlesbrough,0,2,6,10,2,5,2.5,3.2,2.75
E0,Newcastle,Norwich,2,2,23,13,15,5,1.44,4,7.5
E0,Southampton,Bolton,1,2,10,9,6,5,2.25,3.2,3.1
E0,West Brom,Tottenham,1,1,4,12,2,6,2.75,3.2,2.5
E0,Aston Villa,Newcastle,4,2,16,12,13,10,2.4,3.2,2.87
E0,Blackburn,Man United,1,1,8,24,4,15,5,3.4,1.72
E0,Chelsea,Southampton,2,1,16,6,7,2,1.28,5,10
E0,Everton,West Brom,2,1,16,12,10,8,2,3.2,3.75
E0,Man City,Charlton,4,0,16,6,10,3,2.25,3.2,3.1
E0,Middlesbrough,Crystal Palace,2,1,24,6,15,2,1.44,4,7.5
E0,Norwich,Arsenal,1,4,5,18,5,15,9,4.33,1.36
E0,Tottenham,Birmingham,1,0,6,10,3,2,2,3.2,3.75
E0,Bolton,Liverpool,1,0,10,7,8,2,3.2,3.25,2.2
E0,Man United,Everton,0,0,14,7,6,2,1.28,5,10
E0,Portsmouth,Fulham,4,3,21,18,13,10,2.3,3.25,3
E0,Aston Villa,Chelsea,0,0,11,18,5,10,4.333,3.1,1.909
E0,Bolton,Man United,2,2,12,12,7,7,3.75,3.5,1.909
E0,Fulham,Arsenal,0,3,9,12,7,7,7,3.6,1.533
E0,Liverpool,West Brom,3,0,16,9,9,5,1.444,3.75,8.5
E0,Man City,Everton,0,1,13,6,4,5,1.909,3.1,4.333
E0,Middlesbrough,Birmingham,2,1,14,5,6,3,1.909,3.1,4.333
E0,Newcastle,Blackburn,3,0,7,5,4,1,1.667,3.4,5.5
E0,Portsmouth,Crystal Palace,3,1,16,6,7,3,1.8,3.5,4.333
E0,Tottenham,Norwich,0,0,15,7,7,2,1.571,3.5,6.5
E0,Charlton,Southampton,0,0,8,12,4,7,1.833,3.3,4.333
E0,Arsenal,Bolton,2,2,11,8,6,5,1.25,5,13
E0,Birmingham,Charlton,1,1,7,2,5,1,1.9,3.1,4.33
E0,Blackburn,Portsmouth,1,0,13,6,3,2,2.2,3.25,3.2
E0,Crystal Palace,Man City,1,2,3,14,1,10,2.6,3.2,2.62
E0,Norwich,Aston Villa,0,0,14,18,3,9,2.75,3.2,2.5
E0,West Brom,Fulham,1,1,8,9,5,3,2.5,3.2,2.75
E0,Chelsea,Tottenham,0,0,20,6,8,3,1.5,3.6,7.5
E0,Everton,Middlesbrough,1,0,11,16,9,11,2.5,3.2,2.75
E0,Southampton,Newcastle,1,2,11,9,6,3,2.87,3.25,2.37
E0,Man United,Liverpool,2,1,14,6,9,3,2,3.2,3.75
E0,Aston Villa,Crystal Palace,1,1,10,13,5,8,1.5,3.6,7.5
E0,Bolton,Birmingham,1,1,16,6,12,2,2,3.2,3.75
E0,Fulham,Southampton,1,0,11,15,6,5,2,3.2,3.75
E0,Liverpool,Norwich,3,0,20,2,12,1,1.4,4,9
E0,Man City,Arsenal,0,1,11,12,7,9,6.5,3.5,1.57
E0,Middlesbrough,Chelsea,0,1,8,17,4,12,3.5,3.2,2.1
E0,Newcastle,West Brom,3,1,31,7,10,3,1.5,3.75,7
E0,Tottenham,Man United,0,1,11,6,5,4,3.4,3.25,2.1
E0,Portsmouth,Everton,0,1,11,9,6,2,2.25,3.2,3.1
E0,Charlton,Blackburn,1,0,6,12,3,7,2.1,3.25,3.4
E0,Arsenal,Charlton,4,0,15,4,9,0,1.28,5,10
E0,Blackburn,Aston Villa,2,2,13,15,7,9,2.37,3.25,2.87
E0,Everton,Tottenham,0,1,10,8,4,2,2.25,3.2,3.1
E0,Norwich,Portsmouth,2,2,17,13,9,5,2.37,3.25,2.87
E0,Southampton,Man City,0,0,16,21,11,11,2.37,3.25,2.87
E0,West Brom,Bolton,2,1,13,16,7,7,2.75,3.2,2.5
E0,Birmingham,Newcastle,2,2,10,6,6,3,2.62,3.2,2.6
E0,Chelsea,Liverpool,1,0,13,5,5,3,1.8,3.1,5
E0,Man United,Middlesbrough,1,1,22,13,10,9,1.4,4,9
E0,Crystal Palace,Fulham,2,0,20,8,10,5,2.62,3.2,2.6
E0,Arsenal,Aston Villa,3,1,18,5,15,2,1.3,5,9.5
E0,Birmingham,Man United,0,0,14,12,6,7,5.5,3.2,1.72
E0,Blackburn,Middlesbrough,0,4,12,16,5,10,2.5,3.2,2.75
E0,Bolton,Crystal Palace,1,0,21,7,7,2,1.61,3.6,5.5
E0,Everton,Southampton,1,0,14,8,5,4,1.72,3.4,5
E0,Fulham,Liverpool,2,4,5,10,3,3,3.4,3.25,2.1
E0,Man City,Chelsea,1,0,4,9,1,3,5.5,3.2,1.72
E0,West Brom,Norwich,0,0,9,12,2,5,2.1,3.25,3.4
E0,Charlton,Newcastle,1,1,11,15,6,8,2.75,3.2,2.5
E0,Portsmouth,Tottenham,1,0,11,16,6,7,2.6,3.2,2.62
