Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,B365H,B365D,B365A
E0,Everton,Charlton,0,1,17,7,7,4,2.25,3.25,3.1
E0,Man City,Blackburn,1,1,10,6,7,3,2.1,3.25,3.4
E0,Middlesbrough,Leicester,3,3,13,14,7,8,1.72,3.3,5
E0,Southampton,Leeds,2,1,18,11,6,6,1.72,3.3,5
E0,Tottenham,Liverpool,2,1,7,10,3,4,2.87,3.25,2.37
E0,Wolves,Man United,1,0,11,15,6,6,8.5,4.5,1.36
E0,Aston Villa,Arsenal,0,2,12,13,5,9,5.5,3.4,1.66
E0,Chelsea,Birmingham,0,0,16,2,9,1,1.3,4.5,12
E0,Newcastle,Fulham,3,1,10,13,9,6,1.66,3.4,5.5
E0,Wolves,Liverpool,1,1,9,14,6,10,4.5,3.4,1.8
E0,Birmingham,Newcastle,1,1,15,4,5,2,2.7,3.25,2.5
E0,Charlton,Bolton,1,2,14,14,7,10,1.8,3.3,4.5
E0,Fulham,Tottenham,2,1,16,4,10,4,2.375,3.25,2.875
E0,Leeds,Middlesbrough,0,3,8,15,4,6,2.5,3.25,2.7
E0,Leicester,Aston Villa,0,5,13,14,9,10,2.5,3.25,2.7
E0,Liverpool,Everton,0,0,21,6,9,4,1.727,3.4,5
E0,Man United,Southampton,3,2,12,17,7,11,1.25,5.5,10
E0,Portsmouth,Wolves,0,0,17,8,10,4,1.909,3.25,4
E0,Arsenal,Man City,2,1,11,9,9,8,1.25,5.5,10
E0,Blackburn,Chelsea,2,3,13,17,7,9,4.5,3.3,1.8
E0,Aston Villa,Leeds,2,0,15,7,7,4,1.615,3.4,6
E0,Bolton,Liverpool,2,2,12,11,6,6,3.1,3.2,2.25
E0,Everton,Man United,3,4,12,19,8,9,5.5,3.6,1.615
E0,Middlesbrough,Blackburn,0,1,15,6,7,2,1.909,3.25,4
E0,Newcastle,Leicester,3,1,15,7,9,3,1.4,4.333,7.5
E0,Southampton,Fulham,0,0,11,11,6,8,2.1,3.25,3.4
E0,Tottenham,Portsmouth,4,3,15,16,13,9,1.667,3.4,5.5
E0,Wolves,Arsenal,1,3,12,10,5,7,9,4,1.4
E0,Chelsea,Charlton,1,0,16,5,6,0,1.364,4.333,9
E0,Man City,Birmingham,0,0,21,7,12,2,2,3.4,3.5
E0,Arsenal,Southampton,2,0,11,10,6,6,1.25,5,13
E0,Leeds,Wolves,4,1,20,11,8,5,2.1,3.25,3.4
E0,Leicester,Bolton,1,1,15,9,15,9,2.7,3.25,2.5
E0,Birmingham,Everton,3,0,15,5,11,3,2.1,3.25,3.4
E0,Blackburn,Newcastle,1,1,17,14,7,7,2.87,3.25,2.37
