Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,B365H,B365D,B365A
E0,Bolton,Birmingham,0,1,16,7,7,3,2.4,3.2,2.7
E0,Chelsea,Man City,1,0,7,9,4,6,1.5,3.5,7
E0,Liverpool,Leeds,3,1,20,7,9,5,1.5,3.5,7
E0,Man United,Fulham,1,3,17,12,9,7,1.25,5,10
E0,Newcastle,Portsmouth,3,0,10,9,8,4,1.53,3.6,6
E0,Southampton,Blackburn,2,0,22,6,15,3,2,3.25,3.4
E0,Wolves,Leicester,4,3,12,7,8,5,2.1,3.25,3.2
E0,Charlton,Arsenal,1,1,6,11,4,6,5,3.6,1.61
E0,Tottenham,Middlesbrough,0,0,12,16,8,10,1.83,3.25,4
E0,Everton,Chelsea,0,1,12,17,4,7,4.5,3.4,1.72
E0,Leeds,Arsenal,1,4,9,13,5,9,5.5,3.6,1.57
E0,Man United,Portsmouth,3,0,10,9,4,3,1.25,5,10
E0,Middlesbrough,Wolves,2,0,14,9,11,2,1.72,3.4,4.5
E0,Newcastle,Aston Villa,1,1,22,11,13,6,1.57,3.6,5.5
E0,Southampton,Man City,0,2,8,13,5,9,2.2,3.4,2.87
E0,Tottenham,Bolton,0,1,10,25,6,15,1.72,3.4,4.5
E0,Fulham,Liverpool,1,2,10,10,6,6,2.7,3.25,2.37
E0,Leicester,Blackburn,2,0,4,10,3,2,2.5,3.3,2.5
E0,Birmingham,Charlton,1,2,14,13,13,9,1.9,3.25,3.75
E0,Arsenal,Tottenham,2,1,9,5,3,2,1.4,3.75,8.5
E0,Aston Villa,Middlesbrough,0,2,12,8,4,3,2,3.25,3.4
E0,Bolton,Southampton,0,0,18,8,11,5,2.37,3.2,2.75
E0,Charlton,Fulham,3,1,12,11,7,7,2.25,3.25,2.87
E0,Portsmouth,Leeds,6,1,14,6,6,5,1.83,3.25,4
E0,Wolves,Birmingham,1,1,11,4,4,2,2.6,3.2,2.5
E0,Chelsea,Newcastle,5,0,15,4,8,3,1.61,3.6,5
E0,Liverpool,Man United,1,2,10,6,4,4,2.75,3.2,2.37
E0,Man City,Leicester,0,3,14,6,4,3,1.44,3.8,7
E0,Blackburn,Everton,2,1,18,8,12,2,2.25,3.25,2.87
E0,Birmingham,Arsenal,0,3,7,9,1,6,4.5,3.4,1.72
E0,Everton,Wolves,2,0,23,8,15,4,1.66,3.4,5
E0,Leeds,Bolton,0,2,13,10,10,5,2.2,3.2,3
E0,Leicester,Charlton,1,1,13,7,7,4,2.7,3.25,2.37
E0,Man United,Blackburn,2,1,14,13,8,6,1.25,5,10
