Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Aston Villa,West Ham,3,0,23,12,11,2,2,3.3,4
E0,Blackburn,Everton,1,0,7,17,2,12,2.88,3.25,2.5
E0,Bolton,Fulham,0,0,13,12,9,7,2.2,3.3,3.4
E0,Chelsea,West Brom,6,0,18,10,13,4,1.17,7,17
E0,Sunderland,Birmingham,2,2,6,13,2,7,2.1,3.3,3.6
E0,Tottenham,Man City,0,0,22,11,18,7,2.4,3.3,3
E0,Wigan,Blackpool,0,4,11,9,6,7,1.83,3.5,4.5
E0,Wolves,Stoke,2,1,13,10,7,6,2.3,3.25,3.2
E0,Liverpool,Arsenal,1,1,7,14,4,7,2.5,3.25,2.88
E0,Man United,Newcastle,3,0,18,7,10,3,1.25,5.5,15
E0,Arsenal,Blackpool,6,0,26,3,16,1,1.17,7,19
E0,Birmingham,Blackburn,2,1,10,7,7,2,2.2,3.25,3.4
E0,Everton,Wolves,1,1,14,9,6,4,1.5,4,7
E0,Stoke,Tottenham,1,2,15,7,10,6,3.4,3.3,2.2
E0,West Brom,Sunderland,1,0,11,10,5,4,2.5,3.25,2.88
E0,West Ham,Bolton,1,3,17,12,10,8,2.25,3.3,3.25
E0,Wigan,Chelsea,0,6,17,10,12,8,15,6,1.22
E0,Fulham,Man United,2,2,16,14,8,7,6,4,1.57
E0,Newcastle,Aston Villa,6,0,20,3,14,1,3.2,3.25,2.3
E0,Man City,Liverpool,3,0,8,13,3,7,2.38,3.25,3.1
E0,Blackburn,Arsenal,1,2,15,14,7,9,6,4,1.57
E0,Blackpool,Fulham,2,2,14,12,5,7,3.2,3.25,2.3
E0,Chelsea,Stoke,2,0,15,9,6,3,1.11,9,23
E0,Man United,West Ham,3,0,18,7,11,2,1.14,8,19
E0,Tottenham,Wigan,0,1,12,13,7,5,1.25,5.75,13
E0,Wolves,Newcastle,1,1,5,11,2,6,2.4,3.2,3.1
E0,Aston Villa,Everton,1,0,12,15,6,9,2.5,3.25,2.88
E0,Bolton,Birmingham,2,2,11,9,8,5,2.1,3.3,3.6
E0,Liverpool,West Brom,1,0,11,14,7,5,1.22,6,15
E0,Sunderland,Man City,1,0,12,9,4,7,4.5,3.5,1.83
E0,Arsenal,Bolton,4,1,23,7,14,6,1.25,5.5,13
E0,Everton,Man United,3,3,23,13,14,8,4.2,3.4,1.91
E0,Fulham,Wolves,2,1,13,4,6,2,1.83,3.5,4.5
E0,Man City,Blackburn,1,1,20,4,14,2,1.33,5,10
E0,Newcastle,Blackpool,0,2,16,7,13,4,1.57,4,6
E0,West Brom,Tottenham,1,1,15,16,8,9,3.75,3.25,2.1
E0,West Ham,Chelsea,1,3,13,17,7,9,10,5,1.33
E0,Wigan,Sunderland,1,1,17,4,4,2,2.5,3.25,2.88
E0,Birmingham,Liverpool,0,0,15,14,3,8,3.1,3.2,2.4
E0,Stoke,Aston Villa,2,1,20,10,12,6,2.5,3.25,2.88
E0,Aston Villa,Bolton,1,1,13,13,6,7,1.8,3.6,4.5
E0,Blackburn,Fulham,1,1,9,9,5,4,2,3.3,4
E0,Everton,Newcastle,0,1,6,9,3,4,1.62,3.75,6
E0,Stoke,West Ham,1,1,9,13,3,6,1.91,3.4,4.2
E0,Sunderland,Arsenal,1,1,16,16,5,7,5.5,3.7,1.67
E0,Tottenham,Wolves,3,1,20,5,11,2,1.4,4.5,8.5
E0,West Brom,Birmingham,3,1,16,6,10,3,2.25,3.3,3.25
E0,Chelsea,Blackpool,4,0,27,11,15,4,1.1,9,26
E0,Man United,Liverpool,3,2,16,7,7,1,1.7,3.5,5.5
E0,Wigan,Man City,0,2,9,11,3,5,5,3.6,1.73
E0,Arsenal,West Brom,2,3,24,7,12,5,1.22,6,15
E0,Birmingham,Wigan,0,0,10,17,4,10,1.83,3.5,4.5
E0,Blackpool,Blackburn,1,2,11,13,8,8,3.2,3.25,2.3
E0,Fulham,Everton,0,0,12,15,2,7,2.75,3.2,2.63
E0,Liverpool,Sunderland,2,2,13,10,5,1,1.44,4.33,7.5
E0,Man City,Chelsea,1,0,8,15,6,4,3.6,3.3,2.1
E0,West Ham,Tottenham,1,0,22,17,15,11,3.5,3.4,2.1
E0,Bolton,Man United,2,2,15,12,9,6,7.5,4,1.5
E0,Newcastle,Stoke,1,2,11,8,7,2,1.91,3.4,4.2
E0,Wolves,Aston Villa,1,2,14,10,12,8,2.88,3.25,2.5
E0,Birmingham,Everton,0,2,6,11,3,6,2.88,3.1,2.63
E0,Stoke,Blackburn,1,0,18,7,11,4,2.25,3.2,3.4
E0,Sunderland,Man United,0,0,14,10,8,4,5,3.5,1.75
E0,Tottenham,Aston Villa,2,1,19,13,10,4,1.91,3.5,4
E0,West Brom,Bolton,1,1,17,10,9,5,2.1,3.25,3.75
E0,West Ham,Fulham,1,1,12,17,5,5,2.25,3.25,3.3
E0,Wigan,Wolves,2,0,24,2,17,0,2.25,3.25,3.3
E0,Chelsea,Arsenal,2,0,11,13,6,5,1.73,3.6,5
E0,Liverpool,Blackpool,1,2,19,11,10,7,1.33,5,10
E0,Man City,Newcastle,2,1,9,8,5,4,1.44,4,8.5
E0,Arsenal,Birmingham,2,1,18,6,13,4,1.29,5.5,11
E0,Aston Villa,Chelsea,0,0,11,13,5,6,5,3.6,1.73
E0,Bolton,Stoke,2,1,11,8,6,3,2.2,3.2,3.5
E0,Fulham,Tottenham,1,2,11,14,5,6,2.88,3.25,2.5
E0,Man United,West Brom,2,2,16,7,9,2,1.25,5.75,12
E0,Newcastle,Wigan,2,2,9,8,4,4,1.83,3.5,4.5
E0,Wolves,West Ham,1,1,9,9,5,7,2.25,3.2,3.4
E0,Blackpool,Man City,2,3,16,13,5,8,5.5,4,1.62
E0,Everton,Liverpool,2,0,9,15,6,9,2.4,3.25,3
E0,Blackburn,Sunderland,0,0,9,16,3,7,2.1,3.3,3.6
E0,Birmingham,Blackpool,2,0,17,14,8,6,1.83,3.6,4.33
E0,Chelsea,Wolves,2,0,17,12,10,9,1.13,8.5,19
E0,Sunderland,Aston Villa,1,0,13,11,6,7,2.4,3.25,3
E0,Tottenham,Everton,1,1,13,7,8,3,2.1,3.25,3.75
E0,West Brom,Fulham,2,1,14,9,7,3,2.2,3.25,3.4
