Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Bournemouth,Aston Villa,0,1,11,7,2,3,2,3.6,4
E0,Chelsea,Swansea,2,2,11,18,3,10,1.36,5,11
E0,Everton,Watford,2,2,10,11,5,5,1.7,3.9,5.5
E0,Leicester,Sunderland,4,2,19,10,8,5,1.95,3.5,4.33
E0,Man United,Tottenham,1,0,9,9,1,4,1.65,4,6
E0,Norwich,Crystal Palace,1,3,17,11,6,7,2.55,3.3,3
E0,Arsenal,West Ham,0,2,22,8,6,4,1.29,6,12
E0,Newcastle,Southampton,2,2,9,15,4,5,2.88,3.3,2.7
E0,Stoke,Liverpool,0,1,7,8,1,3,3.4,3.4,2.3
E0,West Brom,Man City,0,3,9,19,2,7,5.75,4,1.67
E0,Aston Villa,Man United,0,1,5,9,1,2,5.5,3.8,1.73
E0,Southampton,Everton,0,3,17,10,4,4,1.95,3.6,4.33
E0,Sunderland,Norwich,1,3,6,19,2,6,2.5,3.3,3.1
E0,Swansea,Newcastle,2,0,19,4,6,2,1.95,3.6,4.33
E0,Tottenham,Stoke,2,2,13,16,7,7,1.8,3.75,5
E0,Watford,West Brom,0,0,16,6,5,0,2.3,3.4,3.4
E0,West Ham,Leicester,1,2,10,11,3,6,2.25,3.5,3.4
E0,Crystal Palace,Arsenal,1,2,11,20,4,7,5.25,3.9,1.73
E0,Man City,Chelsea,3,0,18,10,8,3,2.1,3.5,3.75
E0,Liverpool,Bournemouth,1,0,18,13,2,2,1.45,4.75,8
E0,Crystal Palace,Aston Villa,2,1,16,11,6,2,1.85,3.6,4.75
E0,Leicester,Tottenham,1,1,13,19,2,6,2.63,3.6,2.75
E0,Man United,Newcastle,0,0,20,7,8,0,1.36,5.25,10
E0,Norwich,Stoke,1,1,21,6,7,1,2.3,3.3,3.5
E0,Sunderland,Swansea,1,1,10,20,2,9,4,3.4,2.1
E0,West Ham,Bournemouth,3,4,10,15,4,7,2.38,3.4,3.2
E0,Everton,Man City,0,2,10,16,1,9,5,4,1.73
E0,Watford,Southampton,0,0,13,14,0,5,2.8,3.3,2.75
E0,West Brom,Chelsea,2,3,15,15,6,5,6.5,4,1.62
E0,Arsenal,Liverpool,0,0,19,15,5,8,1.75,4,5
E0,Aston Villa,Sunderland,2,2,21,7,6,3,1.91,3.5,4.75
E0,Bournemouth,Leicester,1,1,5,4,2,2,2.2,3.6,3.4
E0,Chelsea,Crystal Palace,1,2,26,13,9,6,1.36,5,11
E0,Liverpool,West Ham,0,3,13,12,1,5,1.36,5.5,9
E0,Man City,Watford,2,0,18,7,5,0,1.2,8,15
E0,Newcastle,Arsenal,0,1,1,22,0,9,6,4.2,1.62
E0,Stoke,West Brom,0,1,13,15,5,5,1.95,3.4,4.5
E0,Tottenham,Everton,0,0,20,8,6,3,2,3.5,4.2
E0,Southampton,Norwich,3,0,23,6,8,1,2.05,3.5,4
E0,Swansea,Man United,2,1,9,11,4,4,3.6,3.3,2.25
E0,Arsenal,Stoke,2,0,29,9,12,4,1.29,6,12
E0,Crystal Palace,Man City,0,1,10,21,2,7,5.5,4.2,1.67
E0,Everton,Chelsea,3,1,14,15,9,2,4,3.6,2
E0,Man United,Liverpool,3,1,9,8,3,4,2,3.4,4.33
E0,Norwich,Bournemouth,3,1,12,7,4,2,2.4,3.4,3.2
E0,Watford,Swansea,1,0,17,8,6,3,2.75,3.4,2.75
E0,West Brom,Southampton,0,0,8,14,1,4,3.2,3.2,2.5
E0,Leicester,Aston Villa,3,2,21,11,6,4,1.91,3.75,4.33
E0,Sunderland,Tottenham,0,1,12,15,2,4,4.33,3.6,1.95
E0,West Ham,Newcastle,2,0,17,14,3,4,2.25,3.5,3.4
E0,Aston Villa,West Brom,0,1,13,11,3,6,2.3,3.25,3.5
E0,Bournemouth,Sunderland,2,0,15,9,5,2,1.7,4,5.5
E0,Chelsea,Arsenal,2,0,22,9,7,2,2.45,3.5,3
E0,Man City,West Ham,1,2,27,6,8,3,1.29,6.5,11
E0,Newcastle,Watford,1,2,15,13,5,4,2.5,3.3,3.1
E0,Stoke,Leicester,2,2,11,12,4,5,2.5,3.4,3
E0,Swansea,Everton,0,0,12,17,3,2,2.3,3.4,3.4
E0,Liverpool,Norwich,1,1,23,7,7,2,1.67,4,5.75
E0,Southampton,Man United,2,3,15,10,8,3,3.1,3.3,2.5
E0,Tottenham,Crystal Palace,1,0,22,12,6,4,2,3.6,4
E0,Leicester,Arsenal,2,5,16,26,7,12,4.5,4,1.8
E0,Liverpool,Aston Villa,3,2,21,10,12,4,1.53,4.33,7
E0,Man United,Sunderland,3,0,12,9,7,4,1.2,7.5,16
E0,Newcastle,Chelsea,2,2,11,16,5,4,6,4.2,1.62
E0,Southampton,Swansea,3,1,18,11,7,4,2.05,3.4,4.2
E0,Stoke,Bournemouth,2,1,8,11,5,6,2.55,3.3,3
E0,Tottenham,Man City,4,1,15,22,8,8,4.2,3.8,1.91
E0,West Ham,Norwich,2,2,19,16,7,7,2.25,3.5,3.4
E0,Watford,Crystal Palace,0,1,15,16,2,3,2.5,3.3,3.1
E0,West Brom,Everton,2,3,9,12,4,4,3.1,3.3,2.5
E0,Aston Villa,Stoke,0,1,13,12,2,5,2.5,3.3,3.1
E0,Bournemouth,Watford,1,1,12,11,6,2,2.1,3.5,3.8
E0,Chelsea,Southampton,1,3,10,13,3,5,1.83,3.7,4.8
E0,Crystal Palace,West Brom,2,0,21,7,8,2,1.83,3.6,5
E0,Man City,Newcastle,6,1,23,6,11,4,1.25,7,13
E0,Norwich,Leicester,1,2,17,16,2,5,2.3,3.5,3.3
E0,Sunderland,West Ham,2,2,12,20,3,6,3.2,3.4,2.4
E0,Arsenal,Man United,3,0,12,9,5,5,2,3.8,3.8
E0,Everton,Liverpool,1,1,14,13,4,4,2.7,3.4,2.8
E0,Swansea,Tottenham,2,2,11,19,2,11,2.75,3.25,2.8
E0,Chelsea,Aston Villa,2,0,9,8,3,1,1.33,5.75,10
E0,Crystal Palace,West Ham,1,3,6,24,1,4,2,3.6,4
E0,Everton,Man United,0,3,12,10,3,7,3.25,3.4,2.38
E0,Man City,Bournemouth,5,1,15,5,11,1,1.33,5.75,10
E0,Southampton,Leicester,2,2,14,26,6,7,1.75,4,5
E0,Tottenham,Liverpool,0,0,13,12,4,3,2.5,3.5,3
E0,Watford,Arsenal,0,3,8,17,1,6,6,4.2,1.62
E0,West Brom,Sunderland,1,0,8,9,1,2,2.05,3.4,4.2
E0,Newcastle,Norwich,6,2,11,18,6,6,2.6,3.4,2.88
E0,Swansea,Stoke,0,1,14,9,2,2,2.05,3.4,4.2
E0,Arsenal,Everton,2,1,20,10,5,5,1.44,4.75,8
E0,Aston Villa,Swansea,1,2,9,11,3,4,3,3.3,2.6
E0,Leicester,Crystal Palace,1,0,12,9,3,4,2.2,3.6,3.4
E0,Norwich,West Brom,0,1,16,7,3,4,2,3.5,4.2
E0,Stoke,Watford,0,2,12,13,1,3,2.1,3.3,4
E0,West Ham,Chelsea,2,1,12,8,5,4,4,3.8,1.95
E0,Bournemouth,Tottenham,1,5,11,14,3,9,3.4,3.5,2.25
E0,Liverpool,Southampton,1,1,15,8,2,3,2.05,3.6,3.8
E0,Man United,Man City,0,0,6,6,1,1,2.6,3.5,2.8
E0,Sunderland,Newcastle,3,0,9,21,3,8,2.6,3.4,2.9
E0,Chelsea,Liverpool,1,3,8,16,2,7,2.1,3.5,3.75
E0,Crystal Palace,Man United,0,0,10,5,5,1,3.8,3.5,2.1
E0,Man City,Norwich,2,1,21,5,5,3,1.29,6,12
E0,Newcastle,Stoke,0,0,15,9,6,2,2.4,3.4,3.2
E0,Swansea,Arsenal,0,3,8,15,3,5,5,4,1.75
