Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,BOH,BOD,BOA
E0,Arsenal,Sunderland,0,0,14,3,4,2,1.4,4.5,8.5
E0,Fulham,Norwich,5,0,11,4,9,2,1.8,3.6,4.5
E0,Newcastle,Tottenham,2,1,6,12,4,6,2.5,3.4,2.75
E0,QPR,Swansea,0,5,20,12,11,8,2,3.4,3.8
E0,Reading,Stoke,1,1,9,6,3,3,2.38,3.25,3.1
E0,West Brom,Liverpool,3,0,15,14,10,7,4.2,3.5,1.91
E0,West Ham,Aston Villa,1,0,8,10,4,6,2.2,3.3,3.4
E0,Man City,Southampton,3,2,20,9,15,6,1.17,7,17
E0,Wigan,Chelsea,0,2,12,5,4,3,6,3.75,1.62
E0,Everton,Man United,1,0,16,12,7,7,4.33,3.6,1.83
E0,Chelsea,Reading,4,2,23,7,11,5,1.25,5.5,13
E0,Aston Villa,Everton,1,3,7,19,3,11,2.9,3.4,2.4
E0,Chelsea,Newcastle,2,0,11,11,6,5,1.5,4.33,6.5
E0,Man United,Fulham,3,2,20,14,11,11,1.29,5.5,11
E0,Norwich,QPR,1,1,13,6,4,4,2.25,3.4,3.2
E0,Southampton,Wigan,0,2,14,12,9,8,2.1,3.4,3.5
E0,Swansea,West Ham,3,0,10,7,7,6,2.1,3.3,3.6
E0,Tottenham,West Brom,1,1,18,10,10,5,1.5,4.33,6.5
E0,Liverpool,Man City,2,2,15,11,8,5,3.1,3.4,2.3
E0,Stoke,Arsenal,0,0,7,16,4,6,3.5,3.4,2.1
E0,Man City,QPR,3,1,19,9,12,5,1.18,7,15
E0,Swansea,Sunderland,2,2,14,4,10,3,2.2,3.3,3.4
E0,Tottenham,Norwich,1,1,15,10,9,4,1.36,5,8.5
E0,West Brom,Everton,2,0,14,12,8,5,3,3.3,2.38
E0,West Ham,Fulham,3,0,17,14,12,13,2.5,3.25,2.88
E0,Wigan,Stoke,2,2,9,16,5,8,2.25,3.25,3.3
E0,Liverpool,Arsenal,0,2,17,11,8,7,2,3.5,3.75
E0,Newcastle,Aston Villa,1,1,16,13,6,9,1.62,3.75,6
E0,Southampton,Man United,2,3,15,18,8,9,6,4.2,1.53
E0,Arsenal,Southampton,6,1,20,9,12,4,1.36,5,8.5
E0,Aston Villa,Swansea,2,0,17,10,13,5,2.38,3.25,3.1
E0,Fulham,West Brom,3,0,23,10,14,8,2.1,3.4,3.5
E0,Man United,Wigan,4,0,17,8,10,4,1.25,6,12
E0,Norwich,West Ham,0,0,20,9,14,4,2.38,3.4,3
E0,QPR,Chelsea,0,0,10,13,6,9,4.5,3.5,1.83
E0,Stoke,Man City,1,1,4,15,3,11,5,3.6,1.73
E0,Sunderland,Liverpool,1,1,6,20,4,9,3.4,3.3,2.2
E0,Reading,Tottenham,1,3,4,22,2,11,3.75,3.5,2
E0,Everton,Newcastle,2,2,17,11,10,7,1.73,3.6,5
E0,Chelsea,Stoke,1,0,17,13,9,6,1.36,4.75,9
E0,Southampton,Aston Villa,4,1,12,8,4,2,2.4,3.3,3
E0,Swansea,Everton,0,3,18,30,11,19,3,3.3,2.4
E0,West Brom,Reading,1,0,9,8,4,1,1.73,3.75,4.75
E0,West Ham,Sunderland,1,1,20,4,11,2,2.1,3.3,3.6
E0,Wigan,Fulham,1,2,18,12,9,9,2.4,3.3,3
E0,Liverpool,Man United,1,2,13,8,8,4,2.7,3.3,2.63
E0,Man City,Arsenal,1,1,14,10,10,4,1.75,3.6,4.75
E0,Newcastle,Norwich,1,0,16,8,8,3,1.8,3.6,4.5
E0,Tottenham,QPR,2,1,18,9,14,6,1.44,4.33,7.5
E0,Arsenal,Chelsea,1,2,14,10,5,5,2.1,3.4,3.5
E0,Everton,Southampton,3,1,17,8,9,2,1.4,4.75,8
E0,Fulham,Man City,1,2,7,21,3,12,4.33,3.6,1.83
E0,Man United,Tottenham,2,3,15,10,8,6,1.57,4,6
E0,Norwich,Liverpool,2,5,10,10,7,6,4.75,3.75,1.73
E0,Reading,Newcastle,2,2,14,8,7,3,2.88,3.3,2.5
E0,Stoke,Swansea,2,0,10,8,5,0,1.91,3.4,4.2
E0,Sunderland,Wigan,1,0,11,8,6,3,2,3.4,3.8
E0,Aston Villa,West Brom,1,1,19,14,8,7,2.4,3.3,3
E0,QPR,West Ham,1,2,13,17,9,10,2.05,3.4,3.75
E0,Chelsea,Norwich,4,1,20,7,13,4,1.22,6.5,12
E0,Man City,Sunderland,3,0,26,8,16,6,1.29,5.5,11
E0,Swansea,Reading,2,2,25,8,16,6,1.91,3.6,4
E0,West Brom,QPR,3,2,13,13,8,6,1.83,3.75,4.2
E0,West Ham,Arsenal,1,3,7,20,3,14,4,3.6,1.91
E0,Wigan,Everton,2,2,10,16,6,11,4.2,3.4,1.91
E0,Liverpool,Stoke,0,0,16,5,5,3,1.44,4.33,7.5
E0,Newcastle,Man United,0,3,13,12,3,9,4.2,3.75,1.83
E0,Southampton,Fulham,2,2,13,14,6,5,2.75,3.3,2.6
E0,Tottenham,Aston Villa,2,0,23,8,10,5,1.44,4.33,7.5
E0,Fulham,Aston Villa,1,0,17,9,8,4,1.8,3.6,4.5
E0,Liverpool,Reading,1,0,23,8,13,5,1.33,5,10
E0,Man United,Stoke,4,2,13,8,8,6,1.29,5.5,11
E0,Norwich,Arsenal,1,0,7,13,3,7,6,4.2,1.53
E0,Swansea,Wigan,2,1,18,10,11,7,2.1,3.4,3.5
E0,Tottenham,Chelsea,2,4,23,11,16,7,2.5,3.4,2.75
E0,West Brom,Man City,1,2,16,21,8,13,5,3.75,1.7
E0,West Ham,Southampton,4,1,9,11,8,4,1.83,3.75,4.2
E0,QPR,Everton,1,1,14,10,6,4,3.25,3.4,2.2
E0,Sunderland,Newcastle,1,1,16,10,6,7,2.5,3.3,2.88
E0,Arsenal,QPR,1,0,21,4,11,3,1.36,5,8.5
E0,Aston Villa,Norwich,1,1,7,14,5,6,2,3.5,3.75
E0,Man City,Swansea,1,0,10,9,5,5,1.22,6,15
E0,Reading,Fulham,3,3,15,16,9,8,2.75,3.4,2.5
E0,Stoke,Sunderland,0,0,11,6,6,3,1.95,3.3,4.2
E0,Wigan,West Ham,2,1,17,15,13,11,2.25,3.4,3.2
E0,Chelsea,Man United,2,3,14,15,11,7,2.4,3.4,2.9
E0,Everton,Liverpool,2,2,17,12,8,5,2.6,3.3,2.75
E0,Newcastle,West Brom,2,1,10,8,6,4,2,3.5,3.75
E0,Southampton,Tottenham,1,2,11,11,6,4,4.2,3.75,1.83
E0,Fulham,Everton,2,2,8,26,5,15,2.75,3.4,2.5
E0,Man United,Arsenal,2,1,11,7,7,3,1.7,3.8,5
E0,Norwich,Stoke,1,0,12,8,8,3,2.6,3.3,2.75
E0,Sunderland,Aston Villa,0,1,11,9,1,6,2.1,3.3,3.6
E0,Swansea,Chelsea,1,1,9,11,7,7,4.5,3.6,1.8
E0,Tottenham,Wigan,0,1,13,7,10,4,1.5,4.33,6.5
E0,West Ham,Man City,0,0,6,18,1,8,5,3.8,1.7
E0,Liverpool,Newcastle,1,1,20,10,12,3,1.57,4,6
E0,QPR,Reading,1,1,23,18,12,8,1.8,3.6,4.5
E0,West Brom,Southampton,2,0,16,9,6,5,1.73,3.75,4.75
E0,Arsenal,Fulham,3,3,15,9,9,5,1.53,4.2,6
E0,Aston Villa,Man United,2,3,10,16,7,7,7,4.5,1.44
E0,Everton,Sunderland,2,1,16,6,10,4,1.44,4.2,8
E0,Reading,Norwich,0,0,7,10,3,3,2.25,3.4,3.2
E0,Southampton,Swansea,1,1,11,5,5,3,2.38,3.5,2.88
E0,Stoke,QPR,1,0,10,17,5,8,1.91,3.4,4.2
E0,Wigan,West Brom,1,2,14,7,6,4,2.3,3.4,3.1
E0,Chelsea,Liverpool,1,1,12,9,3,5,1.95,3.5,4
E0,Man City,Tottenham,2,1,16,6,8,2,1.57,4,6
E0,Newcastle,West Ham,0,1,14,10,9,5,1.95,3.6,3.8
E0,Arsenal,Tottenham,5,2,13,6,10,4,1.91,3.75,3.8
E0,Liverpool,Wigan,3,0,22,9,11,3,1.44,4.33,7.5
E0,Man City,Aston Villa,5,0,21,10,8,8,1.2,6.5,15
E0,Newcastle,Swansea,1,2,27,15,10,9,1.91,3.6,4
E0,Norwich,Man United,1,0,10,12,5,9,7,4.5,1.44
E0,QPR,Southampton,1,3,13,21,7,15,1.91,3.6,4
E0,Reading,Everton,2,1,12,21,4,11,4.33,3.6,1.83
E0,West Brom,Chelsea,2,1,8,19,6,12,3.75,3.5,2
E0,Fulham,Sunderland,1,3,18,12,13,9,1.67,3.75,5.25
E0,West Ham,Stoke,1,1,16,12,11,6,2,3.4,3.8
E0,Aston Villa,Arsenal,0,0,10,13,8,6,4.75,3.75,1.73
E0,Everton,Norwich,1,1,14,8,9,4,1.44,4.33,7.5
E0,Man United,QPR,3,1,15,10,10,6,1.17,7.5,15
E0,Stoke,Fulham,1,0,12,8,3,5,2.2,3.3,3.4
E0,Sunderland,West Brom,2,4,19,11,12,6,2.5,3.3,2.88
E0,Wigan,Reading,3,2,19,16,11,10,1.83,3.6,4.33
E0,Chelsea,Man City,0,0,5,11,1,7,2.5,3.5,2.7
E0,Southampton,Newcastle,2,0,17,8,10,3,2.3,3.5,3
E0,Swansea,Liverpool,0,0,17,21,8,14,3.4,3.5,2.1
E0,Tottenham,West Ham,3,1,25,10,13,6,1.67,3.75,5.5
E0,Aston Villa,Reading,1,0,15,11,7,6,1.95,3.4,4
E0,Sunderland,QPR,0,0,13,13,8,9,2.25,3.25,3.3
E0,Chelsea,Fulham,0,0,17,8,13,7,1.44,4.5,7
E0,Everton,Arsenal,1,1,14,12,10,9,2.5,3.4,2.75
E0,Man United,West Ham,1,0,23,9,13,3,1.22,6.5,12
E0,Southampton,Norwich,1,1,8,9,2,5,2,3.4,3.8
E0,Stoke,Newcastle,2,1,11,7,5,6,1.91,3.4,4.2
E0,Swansea,West Brom,3,1,13,6,8,2,2.3,3.4,3.1
E0,Tottenham,Liverpool,2,1,14,14,7,9,2.4,3.4,2.88
E0,Wigan,Man City,0,2,9,15,4,6,6,4.2,1.53
E0,Arsenal,Swansea,0,2,10,12,8,10,1.44,4.5,7
E0,Fulham,Tottenham,0,3,8,10,2,6,2.88,3.3,2.5
E0,Liverpool,Southampton,1,0,24,8,11,4,1.4,4.5,8.5
E0,Man City,Everton,1,1,9,8,6,5,1.5,4,7
E0,QPR,Aston Villa,1,1,17,7,12,3,1.95,3.5,4
E0,Reading,Man United,3,4,10,10,7,5,7.5,4.75,1.4
E0,West Brom,Stoke,0,1,14,6,11,4,2.1,3.25,3.75
E0,West Ham,Chelsea,3,1,16,16,13,9,4,3.5,1.91
E0,Norwich,Sunderland,2,1,7,16,5,6,2.1,3.3,3.6
